instance,vertex,degree,weighted_degree,hyperedge_participation,mwu_weighted_degree,mean_incident_mwu,max_incident_mwu,mean_incident_edge_size,max_incident_edge_size,singleton_participation,binary_participation,x_avg,certainty
exact_001,1,6.0,17.0,6.0,0.00423151241664355,0.0007052520694405917,0.00423151241664355,2.8333333333333335,3.0,0.0,1.0,0.4996150662890818,0.0003849337109181894
exact_001,2,7.0,20.0,7.0,0.00424476546402121,0.0006063950662887443,0.00423151241664355,2.857142857142857,3.0,0.0,1.0,0.4993817178731088,0.0006182821268911898
exact_001,3,8.0,23.0,8.0,0.005008506750953282,0.0006260633438691602,0.00471771943187965,2.875,3.0,0.0,1.0,0.4990526390281317,0.0009473609718683162
exact_001,4,12.0,35.0,12.0,0.004848500125389655,0.00040404167711580456,0.00471771943187965,2.9166666666666665,3.0,0.0,1.0,0.49838997281780273,0.0016100271821972711
exact_001,5,10.0,29.0,10.0,0.0045228408370704505,0.00045228408370704505,0.00423151241664355,2.9,3.0,0.0,1.0,0.499381717873109,0.0006182821268910232
exact_001,6,7.0,20.0,7.0,0.0043527144502315904,0.0006218163500330843,0.00423151241664355,2.857142857142857,3.0,0.0,1.0,0.03317853432461219,0.4668214656753878
exact_001,7,6.0,17.0,6.0,0.004231872393908748,0.0007053120656514579,0.00423151241664355,2.8333333333333335,3.0,0.0,1.0,0.4999089074951258,9.109250487421283e-05
exact_001,8,6.0,17.0,6.0,0.004235640493093079,0.0007059400821821799,0.00423151241664355,2.8333333333333335,3.0,0.0,1.0,0.4999524398363935,4.756016360651927e-05
exact_001,9,9.0,26.0,9.0,0.00423151241664355,0.0004701680462937278,0.00423151241664355,2.888888888888889,3.0,0.0,1.0,0.5001426804908219,0.00014268049082188927
exact_001,10,6.0,17.0,6.0,0.004248492065102638,0.0007080820108504396,0.00423151241664355,2.8333333333333335,3.0,0.0,1.0,0.4981451536193303,0.0018548463806696835
